Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People?s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1995,619000,,9000,304000,,21155218.97,2315000,2289000,12000,34000,220000,3726000,17173000,,34000,5560000,138000,124000,156000,3466000,2311000,1598000,,160600,131000,387000,284000,1991000,442000,,4800,521000,26000,16932000,39224000,6946000,,1540000,20034000,,,35000,37000,1399000,23000,28000,785000,4485000,742000,224000,361000,2100000,3381000,14847000,21000,60000,,1776000,520000,43574268.86,70026359.33,77633979.44,32278459.65,295513163.6,440000,2871000,196847000,315000,32971000,530000,103000,258799859.7,5256318.029,1779000,318000,60033000,,,125000,21719000,85000,286000,,,45000,,,10130000,108000,,563000,1362000,106000,378852199.7,,271000,4534002.279,1485000,145000,2878000,153375316.7,166132366.7,11529588.63,4634743.569,4324000,6799248.345,,2124000,,4818000,568000,61000,190000,2215000,31052000,1147000,1075000,3345000,,918000,36000,220000,3900,79000,3753000,72000,34945000,60000,450000,,,231000,47000373.6,4354104.697,4054452.803,59000,403000,30105407.45,141955983.2,209000,107427508.7,650000,768000,539000,4202000,,2602000,233000,,75000,315000,24178776.49,20241000,5500,136463673,147000,42000,1116000,194000,13830125.65,,108000,669000,,,422000,192000,7469000,60637000,272000,86000,35000,656000,281000,6574000,2880000,363000,,,358594011.5,279000,9884342.711,378000,345000,479000,1760000,53000,42000,19215000,4803444.886,3131000,,4572000,438000,,544155.6597,329188823.4,172000,309000,5445000,10290000,,3809176.53,3325000,29000,280000,6070000,11800,13800,235000,28000,,,12830136.3,,12957204.98,15026901.12,6200,43000,903000,732000,2310000,300000,460000,121000,815000,79000,,43060886.79,53419648.12,53000,6952000,,218000,38669000,,13620043.63,29000,3809176.53,12957204.98,260000,4120000,7083000,900,285000,160000,3716000,106544854.2,2022000,43318000,92000,60000,700000,219000,454000,1351000,44000,523909597.5,68000,,61000,4488000,163000,1416000
1996,641000,,21000,287000,,21929046.54,2572000,2614000,13000,35000,228000,4165000,17090000,,27000,5829000,143000,131000,166000,2795000,1988000,1633000,,234000,133000,390000,313000,2666000,447000,,5200,512000,21000,17286000,41706000,6730000,,1450000,22765000,,,37000,39000,631000,24000,37000,781000,4563000,999000,214000,373000,1950000,4558000,15205000,20000,63000,2125000,1926000,605000,47954673.22,76476894.54,84136587.32,38714901.7,311628300,494000,3528000,202466000,417000,34027000,665000,109000,267764000,6192532.973,1724000,340000,62406000,,17600,145000,22936000,117000,305000,,12000,77000,,,9233000,108000,,520000,1373000,92000,393699339.3,,263000,5123409.936,2914000,150000,2979000,168586277,183073285.1,13179732.35,5122994.857,5034000,7966719.002,,2288000,,5289000,693000,51000,201000,2100000,32943000,1162000,1106000,3837000,202000,947000,42000,260000,4200,84000,3684000,76000,37012000,93000,424000,,,236000,48999474.56,5483446.166,4534261.078,56000,302000,33402414.63,157499694.9,312000,116682480,832000,724000,565000,4690000,,2693000,226000,,83000,339000,24838167.39,21395000,6200,151378586.8,136000,98000,1054000,490000,14612824.19,,71000,728000,,,487000,194000,7138000,64165000,461000,91000,68000,822000,303000,6580000,2746000,394000,,,373195012.8,349000,9982779.647,369000,362000,584000,2049000,69000,61000,19410000,5577495.53,3065000,,4567000,426000,220000,587557.7026,342980932.6,164000,327000,5205000,16208000,,3930661.566,,38000,282000,6048000,10300,21900,283000,30000,,,14602931.52,,14740293.69,15252260.14,6400,53000,951000,832000,2376000,315000,365000,131000,830000,88000,,47402776.1,61487517.21,58000,7244000,700,217000,40555000,,14390852.84,27000,3930661.566,14740293.69,266000,3885000,7966000,1000,315000,174000,3854000,118183158.2,2152000,46489000,173000,58000,759000,244000,373000,1607000,46000,554551599.3,73000,,74000,4915000,264000,1597000
1997,650000,,45000,119000,,23843320.57,2476000,2764000,23000,26000,240000,4318000,16647000,,11000,6037000,148000,138000,182000,2980000,2600000,1618000,115000,253500,146000,380000,355000,2850000,472000,,5400,607000,17000,17669000,43855000,7039000,,1644000,23770000,,,30000,27000,639000,26000,45000,811000,4706000,1153000,205000,381000,2088000,4976000,15837000,20000,65000,2158000,2211000,635000,48612866.48,78919919.98,84604994.92,46116691.97,336654250.6,529000,3656000,217627000,410000,39553000,730000,139000,285078000,6024807.501,1832000,359000,66591000,,17200,167000,23215000,313000,325000,,17000,85000,,,10070000,111000,,576000,1382000,76000,414534780.5,,307000,5520397.644,4178000,149000,2887000,178007209.6,193536615.7,14169756.06,5494648.822,5185000,8579711.693,,2374000,,5587000,860000,15000,202000,2010000,34692000,1192000,1132000,4218000,284000,928000,87000,219000,5100,88000,3908000,79000,36262000,193000,558000,,,248000,49034476.33,5867653.197,4767931.436,57000,366000,39333467.04,166235635,313000,120626518.4,1012000,778000,635000,3836000,,3072000,259000,,101000,366000,26797079.28,19351000,6400,159788648.6,121000,75000,1111000,491000,15919073.53,,82000,685000,,,536000,207000,6211000,65816000,502000,105000,68000,611000,358000,7841000,2702000,422000,,,390801343.9,376000,11171054.08,375000,421000,649000,2223000,74000,66000,19520000,5450481.611,3242000,,4798000,395000,210000,613460.4652,365920109.2,180000,333000,5149000,17463000,,4161829.071,,30000,314000,5894000,13800,7500,387000,28000,,,14554310.18,,14690605.97,16591607.3,4800,61000,814000,974000,2388000,269000,439000,130000,891000,93000,,48066926.73,70266099.14,92000,7294000,2100,257000,40142000,,15707953.69,26000,4161829.071,14690605.97,324000,4263000,9040000,1000,347000,175000,7558000,120653835.8,2316000,47767000,960000,65000,814000,244000,393000,1716000,50000,584304845.2,68000,,80000,4976000,341000,1336000
1998,647000,,52000,184000,,26232082.73,2991000,3012000,32000,36000,234000,4167000,17352000,,15000,6179000,152000,160000,172000,2667000,2898000,1528000,148000,355000,176000,370000,387000,4818000,512000,,6200,750000,7500,18870000,43820000,7185000,,1759000,25073000,,,53000,20000,674000,27000,52000,943000,4724000,1390000,199000,404000,2223000,5482000,16511000,21000,66000,2073000,2309000,678000,49142093.54,82009373.9,84590103.35,42768213.82,346867957.1,511000,3213000,229558000,188000,41892000,825000,112000,297044000,7321255.623,1867000,371000,70109000,,13400,195000,23710000,317000,348000,,23000,91000,,,10916000,116000,,636000,1137000,66000,428597798.3,7137000,321000,5634704.898,4499000,147000,2871000,179719587.2,196597227.9,15612177.65,6284803.892,4606000,9197996.738,,2359000,,6064000,1124000,45000,232000,1942000,34933000,1225000,1772000,4106000,257000,792000,59000,287000,5700,93000,4250000,77000,39272000,200000,631000,,,252000,52244638.45,5965710.95,5231311.637,59000,381000,38235825.44,170016745.4,290000,123285420.7,1416000,789000,576000,4517000,,3095000,278000,,121000,396000,29335310.24,19392000,6400,163151824.5,157000,83000,1182000,478000,17429068.82,,165000,481000,,,558000,220000,5551000,65617000,614000,104000,41000,739000,406000,9312000,3256000,464000,,1475000,403543731.6,424000,12231887.84,429000,431000,726000,2149000,64000,67000,18780000,5502743.878,3396000,,5539000,350000,200000,627103.905,378040977.9,189000,320000,4831000,16188000,,4280668.704,,36000,352000,5122000,15800,12900,542000,36000,,,16522609.84,,16656187.3,17659615.66,5600,55000,896000,977000,2573000,284000,458000,128000,1267000,111000,,48569689.35,66500915.91,69000,7843000,3200,300000,42896000,,17228879.26,27000,4280668.704,16656187.3,334000,4718000,8960000,1000,450000,195000,6208000,125126339.4,2163000,46377000,811000,67000,685000,279000,422000,1520000,52000,602247337.9,78000,,88000,5732000,362000,2090000
1999,683000,,45000,371000,2347000,30108429.35,3393000,2898000,41000,41000,232000,4459000,17467000,,26000,6369000,80000,117000,173000,2472000,3280000,1577000,147000,74900,181000,355000,342000,5107000,515000,,7200,843000,10000,19411000,42625000,7154000,,1632000,27047000,,,80000,14000,546000,24000,67000,1032000,4858000,1561000,198000,395000,2434000,5610000,17116000,21000,74000,2023000,2649000,749000,54923563.96,83226324.71,93433363.43,41310173.49,355106329.7,518000,4490000,240992000,57000,45440000,950000,115000,306801000,7629525.837,1831000,410000,73147000,,16100,178000,23341000,384000,373000,,27000,96000,,,12164000,125000,,823000,1162000,75000,444887284.8,7837000,371000,5775099.916,3805000,143000,2789000,185642456.8,203059123.9,16107970.31,6299378.557,4728000,9694964.539,,2482000,,6403000,1321000,30000,263000,2312000,36516000,1248000,1790000,4438000,394000,862000,48000,368000,5100,84000,4660000,84000,39801000,259000,673000,,,264000,52365644.56,6111187.224,5330984.587,60000,436000,39327575.01,178559236,308000,133339025.7,1422000,863000,544000,5050000,,3817000,278000,,138000,430000,33648873.81,19043000,4600,171474354.8,181000,82000,1214000,435000,20133615.16,,155000,493000,,24000,578000,254000,7931000,68275000,635000,100000,39000,776000,468000,9874000,3223000,492000,,1596000,415173735.3,503000,13336227.21,432000,457000,694000,2171000,55000,67000,17950000,5625668.817,3024000,,5379000,269000,300000,668065.9063,390902896.5,211000,357000,5224000,18820000,,4529947.045,,39000,369000,5604000,,10600,658000,34000,,,17184292.18,,17314441.55,18923933.66,5800,57000,975000,884000,2595000,289000,445000,125000,1386000,121000,,54266519.06,63480238.59,70000,8651000,4500,,43076000,,19831007.01,31000,4529947.045,17314441.55,358000,4832000,6893000,1100,564000,189000,4232000,132372932.1,2073000,48509000,487000,68000,587000,284000,484000,1782000,51000,627207864.9,85000,,58000,5890000,404000,2250000
2000,721000,,51000,317000,2949000,33912574.07,3907000,2909000,45000,44000,207000,4931000,17982000,,29000,6457000,96000,126000,199000,2785000,3869000,1544000,171000,60000,196000,332000,319000,5313000,545000,,7600,1104000,11200,19627000,44000000,7821000,,1742000,31229000,,,103000,19000,557000,24000,115000,1088000,4991000,1741000,191000,354000,2686000,4773000,18983000,20100,70000,3535000,2978000,866000,62845010.82,91242719.13,105029882,50364294.47,383051537.2,627000,5116000,255220000,70000,46403000,1220000,136000,324840000,8364242.994,1971000,294000,77190000,,20500,155000,23212000,387000,399000,,33000,79000,,,13096000,129000,,826000,1287000,105000,472270623.2,8814000,471000,6041764.503,5831000,140000,2992000,208505304.3,226959418.8,16887624.99,5954791.827,5064000,10881373.47,,2649000,,6646000,1342000,78000,303000,2417000,41181000,1323000,1580000,4757000,1683000,899000,59000,466000,4800,73000,5322000,78000,42672000,191000,742000,,,270000,55645810.22,6213574.471,6230813.49,61600,400000,43724823.97,201220080.8,302000,147145622,1083000,852000,509000,5197000,,4278000,300000,,160000,467000,37374434.03,20641000,5200,193065088.4,224000,86000,1216000,416000,22301492.63,,154000,517000,,30000,656000,228000,10222000,71197000,656000,110000,50000,813000,486000,10003000,3104000,464000,,1780000,440251430.7,571000,15071837.37,557000,484000,800000,1992000,58000,58000,17400000,5842226.439,3341000,,5599000,289000,310000,572454.1063,417740688.9,252000,378000,5264000,21169000,104000,4826435.65,6585000,38000,389000,6062000,5200,15800,795000,43000,,,17443970.43,,17579442,20658673.13,7100,57000,1053000,1090000,3828000,281000,432000,130000,2100000,152000,,62091182.79,73996896.2,60000,9579000,7700,3400,45804000,,21989376.27,35000,4826435.65,17579442,399000,5058000,9586000,1100,459000,193000,6431000,149598517.5,1968000,51238000,302000,73000,469000,272000,546000,2140000,58000,677386990.3,88000,,73000,5872000,457000,1967000
2001,691000,,67000,354000,3516000,34786173.83,4134000,2620000,123000,36000,215000,4856000,18180000,,36000,6452000,88000,128000,207000,3186000,4388000,1538000,139000,61000,196000,278000,316000,4773000,507000,,6400,1193000,9900,19679000,43763000,7455000,,1723000,33167000,,,55000,27000,616000,19400,134000,1131000,4850000,1736000,205000,334000,2697000,5405000,17861000,21600,66000,3684000,2882000,901000,68283607.05,90337753.77,110822017.9,55980129.16,384104838.5,641000,4357000,253457000,113000,48565000,1320000,148000,320374000,8713330.829,1999000,348000,75202000,,15300,169000,20982000,302000,439000,,38000,57000,7800,,14057000,123000,,835000,1159000,99000,463927039.6,8878000,518000,6345266.519,6544000,142000,3070000,215606094.8,234899003.2,17690390.57,6259818.751,5153000,11374565.98,,2537000,,6353000,1402000,127000,301000,1196000,39563000,1277000,1672000,4772000,2693000,841000,99000,605000,4600,71000,5147000,73000,41138000,173000,837000,,,250000,54161735.27,6509746.682,6363213.594,56500,337000,46436718.33,210723323.6,295000,151436302.4,1271000,836000,591000,5842000,,4380000,270000,,170000,461000,37111513.3,19810000,5400,202309886.1,99000,89000,1180000,475000,22128256.87,,187000,438000,323000,,660000,266000,12775000,66884000,670000,101000,52000,850000,483000,9500000,3073000,361000,,1900000,429377297.3,829000,15839887.16,500000,519000,901000,1797000,54000,54000,15000000,6087070.349,3551000,,5392000,279000,43000,609766.0283,414345739.8,228000,376000,4938000,21595000,113000,4486399.645,6727000,50000,396000,5857000,,24100,735000,49000,,,17985016.92,,18120361.12,21296298.4,7500,54000,1219000,1219000,4108000,283000,403000,130000,2192000,166000,,67467332.02,77835031.71,57000,10133000,5200,5200,44205000,,22092323.28,32000,4486399.645,18120361.12,383000,5387000,10783000,1100,501000,205000,9174000,156140190.3,1892000,46927000,345000,71000,584000,296000,527000,2330000,53000,678246237.6,88000,,76000,5787000,492000,2217000
2002,643000,,91000,470000,3387000,39041453.14,5445000,2820000,162000,,218000,4841000,18611000,576000,74000,6720000,72000,150000,207000,3433000,4831000,1513000,160000,63000,200000,284000,334000,3785000,498000,,5600,1274000,2900,20057000,43246000,6868000,,1412000,36803000,,,28000,22000,567000,18900,126000,1113000,4844000,1656000,218000,303000,2418000,4743000,17969000,22500,69000,3436000,2811000,988000,73898460.69,96207120.26,119828659.6,62610554.92,395474416.2,683000,4906000,259072000,101000,50331000,1362000,156000,325998000,9567376.506,2043000,398000,77012000,,19100,208000,22307000,298000,483000,,43000,81000,,,14180000,132000,,884000,1059000,104000,469972810.8,10689000,550000,6994752.099,6944000,140000,3013000,226988162.7,247635631,18983546.18,6201520.09,5033000,12759881.78,,2384000,,6476000,1585000,,285000,861900,39799000,1266000,2384000,5239000,3678000,838000,140000,787000,4900,69000,5347000,96000,40188000,215000,956000,,,253000,51665609.21,7236697.886,7308580.525,48700,393000,48638324.61,225019262.9,287000,157490721.4,1428000,885000,848000,6565000,,4453000,263000,,62000,485000,41048669.09,19667000,6000,215615916.5,123000,96000,1134000,487000,24086221.5,136000,229000,466000,541000,,682000,383000,13292000,63922000,757000,104000,39000,887000,472000,9595000,3111000,275000,,2026000,433286526.3,817000,16487307.76,498000,534000,1064000,1933000,59000,54000,13980000,6713420.354,3087000,,5560000,250000,33000,672527.1143,421881407.1,189000,587000,4794000,23309000,,4321774.194,7511000,52000,427000,5855000,,28400,798000,46000,,312000,19275274.76,,19412559.24,21987836.19,9200,60000,1399000,1302000,4276000,256000,381000,132000,2661000,155000,,73015624.46,83781595.86,58000,10873000,,10800,42407000,,24061476.86,37000,4321774.194,19412559.24,384000,5064000,12790000,1300,550000,254000,10517000,167268045.9,1258000,43581000,332000,78000,432000,282000,520000,2628000,49000,698431588.3,89000,,98000,6430000,565000,2041000
2003,642000,,107000,557000,3138000,40811528.75,5871000,2995000,206000,,239000,4746000,19078000,768000,74000,6690000,175000,163000,245000,4048000,4844000,1510000,165000,64000,221000,257000,427000,4133000,531000,,6300,1406000,5700,17534000,45480000,6530000,,1614000,32970000,,,35000,23000,625000,20600,150000,1239000,5105000,1847000,221000,294000,2303000,5076000,18399000,23200,73000,3474000,3282000,1166000,65681092.65,98240634.9,107623996.5,65925134.03,398230683.2,761000,5746000,257998000,80000,50854000,1462000,180000,327323000,9943342.951,2047000,431000,75048000,,18200,222000,22787000,313000,531000,,44000,89000,,,13969000,142000,,880000,910000,101000,461993478.2,9676000,611000,7325722.833,7409000,136000,2948000,225260499.6,246832783.1,20000588.21,6528409.012,4467000,13449242.65,,2726000,,6764000,1546000,,317000,1063000,39604000,1350000,2353000,5212000,3237000,927000,342000,701000,4900,91000,4753000,94000,40913000,196000,1016000,,,277000,53098681.58,7515002.268,7686206.434,49000,501000,52122555.02,223733798.6,329000,152617725.7,1491000,867000,971000,6309000,,4761000,235000,,139000,564000,42904448,18665000,7200,214043622.8,158000,110000,1127000,597000,25506081.4,142000,201000,452000,441000,,702000,424000,10577000,59009000,695000,102000,55000,924000,526000,9181000,3269000,338000,,2086000,427115685.5,1039000,16977140.81,501000,566000,1136000,1907000,63000,56000,13720000,6894273.082,3238000,,5383000,268000,37000,717544.7592,416388107.6,213000,557000,5595000,22521000,,4966540.252,7332000,52000,354000,4703000,6600,38100,720000,41000,,339000,20213933.36,,20340481.57,22792049.78,10000,82000,1387000,1373000,4268000,461000,428000,122000,2598000,164000,,64906989.46,87297195.43,61000,10082000,,8200,43405000,,25477739.5,40000,4966540.252,20340481.57,409000,5114000,13341000,1400,552000,305000,12514000,162206841.6,1420000,41218000,231000,79000,337000,278000,538000,2429000,50000,689071739.2,92000,,155000,6505000,413000,2256000
2004,728000,,194000,645000,2791000,48610393.73,6195000,3457000,263000,,246000,5215000,19374000,989000,133000,6710000,174000,222000,271000,4630000,5667000,1561000,190000,67000,231000,272000,480000,4794000,552000,119000,9200,1523000,8200,19145000,50292000,,,1785000,41761000,,190000,36000,31000,791000,23300,157000,1453000,5425000,2017000,223000,260000,2349000,6061000,20137000,26300,80000,4421000,3450000,1234000,84046164.1,114781657.1,137711392.5,75558799.81,416511482.4,819000,7795000,259716000,87000,52430000,1750000,184000,337254000,11163144.23,2083000,504000,74433000,,19300,244000,25678000,368000,584000,,45000,90000,,,13313000,134000,,1182000,1160000,122000,493090108,13655000,641000,8329667.392,7912000,96000,3270000,264452007.9,289401699.1,23077047.25,6845928.506,5321000,16254770.61,,3457000,,6953000,1659000,,360000,1505600,37071000,1415000,2853000,6138000,4291000,1199000,398000,1055000,3400,118000,5818000,91000,46014000,407000,1278000,,43000,298000,59365998.09,9177257.936,9467062.938,48500,566000,63023267.4,264937578.6,304000,176778195.1,1800000,878000,1079000,8324000,,5477000,250000,69000,229000,617000,50985788.67,20618000,9000,253166166.7,165000,113000,1156000,657000,31263864.53,188000,301000,525000,470000,,719000,427000,15703000,65503000,716000,100000,57000,962000,615000,9646000,3628000,385000,,2325000,450872414.7,1195000,18795696.34,648000,621000,1350000,2291000,89000,59000,14290000,8163068.002,3541000,,5654000,309000,56000,835377.6029,445265030.7,212000,732000,6600000,22064000,,6057158.426,8599000,61000,363000,6553000,5600,43600,951000,42000,,392000,21293974.09,,21419310.57,25035447.25,10600,138000,1401000,1499000,4676000,459000,475000,121000,3399000,173000,,83063999.98,98001311.72,83000,11737000,,14800,48966000,,31218042.35,41000,6057158.426,21419310.57,443000,5998000,16826000,1300,566000,512000,15629000,190479814.1,1756000,46086000,262000,87000,486000,304000,563000,2928000,61000,761468261.2,98000,,274000,6678000,515000,1854000
